Server PID = 2215
291 142 13.3 .09
292 143 20.0 .13
293 144 18.8 .13
294 143 20.0 .13
295 144 13.3 .09
296 146 33.3 .22
297 145 20.0 .13
298 146 13.3 .09
299 146 20.0 .13
300 146 13.3 .09
301 147 20.0 .13
302 147 20.0 .13
303 147 13.3 .09
304 146 13.3 .09
305 147 20.0 .13
306 147 13.3 .09
307 146 20.0 .13
308 146 13.3 .09
309 147 20.0 .13
310 146 6.7 .04
311 147 20.0 .13
312 147 20.0 .13
313 147 20.0 .13
314 148 13.3 .08
315 151 26.7 .17
316 151 20.0 .13
317 150 13.3 .08
318 149 13.3 .08
319 148 13.3 .08
320 147 26.7 .18
321 149 6.7 .04
322 147 26.7 .18
323 148 13.3 .08
324 149 13.3 .08
325 147 13.3 .09
326 145 20.0 .13
327 145 20.0 .13
328 145 20.0 .13
329 145 20.0 .13
330 147 20.0 .13
331 146 20.0 .13
332 145 13.3 .09
333 145 20.0 .13
334 144 20.0 .13
335 142 20.0 .14
336 144 20.0 .13
337 145 13.3 .09
338 145 20.0 .13
339 146 20.0 .13
340 147 12.5 .08
341 145 20.0 .13
342 147 13.3 .09
343 147 13.3 .09
344 148 20.0 .13
345 147 13.3 .09
346 146 13.3 .09
347 147 20.0 .13
348 147 20.0 .13
349 147 20.0 .13
350 149 20.0 .13
351 150 26.7 .17
352 148 26.7 .18
353 150 13.3 .08
354 149 20.0 .13
355 147 20.0 .13
356 147 13.3 .09
357 146 26.7 .18
358 148 20.0 .13
359 147 20.0 .13
